Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Location,Performance_Rating,Experience_Years,Status,Work_Mode,Salary_INR
EMP0000072,Robert Phillips,Marketing,SEO Specialist,11/12/2023,"Francoburgh, Andorra",5,1,Resigned,On-site,634126
EMP0000073,Sara Pham,IT,Data Analyst,18/05/2025,"Castilloport, Tonga",5,0,Active,Remote,777497
EMP0000074,Mary Rowland,IT,DevOps Engineer,23/06/2019,"West Markfurt, Albania",3,6,Active,Remote,739400
EMP0000075,Anthony Suarez MD,IT,Software Engineer,28/08/2021,"New Christopher, Moldova",1,3,Active,Remote,978030
EMP0000076,Kristin Hodges,Marketing,Content Strategist,28/10/2015,"Nelsontown, Anguilla",5,9,Active,On-site,1093462
EMP0000077,Elizabeth Brown,R&D,Research Scientist,16/02/2024,"North Rachel, Zimbabwe",1,1,Active,Remote,548919
EMP0000078,Scott Harrison,Sales,Sales Executive,19/05/2016,"Susanton, Bermuda",5,9,Retired,Remote,614652
EMP0000079,David Chen,IT,Software Engineer,26/06/2018,"Markberg, Turkey",5,7,Active,On-site,616692
EMP0000080,Debra Lucas,Operations,Supply Chain Manager,05/09/2018,"South Hayley, Albania",1,6,Active,On-site,683272
EMP0000081,Bruce Burns,Finance,Accountant,27/06/2025,"Frostshire, Northern Mariana Islands",4,0,Active,On-site,435627
EMP0000082,David Powell,Finance,Accountant,29/08/2015,"Lake Erinmouth, Czech Republic",1,9,Resigned,On-site,552885
EMP0000083,Tricia Jimenez,Sales,Business Development Manager,29/03/2020,"South Tyrone, French Guiana",1,5,Resigned,Remote,1608034
EMP0000085,Daniel Singleton,Operations,Operations Director,22/07/2025,"Johnsonland, Saudi Arabia",2,0,Retired,Remote,988534
EMP0000086,Scott Sims,IT,Software Engineer,28/03/2021,"Kevintown, Guam",3,4,Active,Remote,665014
EMP0000087,Cynthia Dennis,Marketing,SEO Specialist,21/08/2016,"Cheyenneshire, Western Sahara",4,8,Active,On-site,739277
EMP0000088,Jennifer Hunt,Marketing,Marketing Executive,07/09/2013,"New Amber, Lithuania",5,11,Active,On-site,811697
EMP0000089,Christopher Martin,Marketing,Marketing Executive,04/12/2021,"Jennifershire, Angola",1,3,Resigned,Remote,443930
EMP0000090,Donald Barr,Operations,Logistics Coordinator,11/07/2018,"Barrybury, Micronesia",4,7,Active,On-site,878513
EMP0000091,Steven Peters,IT,DevOps Engineer,26/11/2023,"Tarabury, Madagascar",5,1,Resigned,Remote,705315
EMP0000092,Robert Turner,Finance,Accountant,24/01/2025,"Johnsonview, Saint Kitts and Nevis",5,0,Active,Remote,892717
EMP0000093,Kayla Stanton,IT,DevOps Engineer,28/04/2018,"West Christianstad, Guinea",4,7,Resigned,On-site,638924
EMP0000094,Melissa Soto,Marketing,Marketing Executive,29/08/2012,"Garciachester, Uzbekistan",4,12,Active,Remote,1171656
EMP0000095,Eric Sawyer,IT,Software Engineer,17/06/2017,"West Stephaniechester, Lebanon",3,8,Active,On-site,1729436
EMP0000096,Kevin Wilson,IT,Software Engineer,25/01/2018,"North Kevinbury, Yemen",2,7,Active,On-site,1248724
EMP0000097,Robert Barton,Marketing,Content Strategist,25/06/2018,"West Rachel, Iceland",4,7,Resigned,On-site,574729
EMP0000098,Nicholas Pratt,R&D,Lab Technician,31/03/2012,"Lake Sarahmouth, Saint Pierre and Miquelon",4,13,Active,On-site,1150240
EMP0000099,Keith Brown,Operations,Logistics Coordinator,17/07/2018,"East Dana, Gabon",1,7,Active,Remote,724986
EMP0000100,Joshua Hall,IT,DevOps Engineer,18/02/2025,"North Melissaburgh, Qatar",3,0,Active,On-site,584045
EMP0000101,Johnny Shepard,Finance,Accountant,02/02/2023,"North Briannatown, Cuba",4,2,Terminated,On-site,892140
EMP0000102,Brandon Snyder,Finance,Financial Analyst,12/07/2017,"South Mollyton, Tanzania",1,8,Resigned,On-site,1351062
EMP0000103,Cesar Morgan,IT,DevOps Engineer,16/04/2021,"Sellersfort, Myanmar",4,4,Active,On-site,654677
EMP0000104,Tamara Wilson,Finance,Finance Manager,10/01/2023,"South Stevenmouth, South Georgia and the South Sandwich Islands",2,2,Resigned,On-site,2118072
EMP0000105,Dwayne Colon,IT,DevOps Engineer,10/12/2021,"Port Davidbury, South Africa",3,3,Active,On-site,894327
EMP0000106,Joseph Green,Sales,Sales Executive,13/06/2020,"Kimberlyside, French Guiana",3,5,Retired,Remote,687405
EMP0000107,Gregory Lyons,Marketing,SEO Specialist,08/01/2021,"Hobbsfort, Burkina Faso",1,4,Active,On-site,806908
EMP0000108,Traci Norman,Sales,Business Development Manager,13/11/2023,"Floresport, American Samoa",3,1,Active,Remote,1631212
EMP0000109,Mrs. Melissa Manning,R&D,Research Scientist,02/06/2018,"West Caleb, Papua New Guinea",5,7,Active,Remote,612751
EMP0000110,Robert Cox,Sales,Business Development Manager,29/10/2012,"Nathanside, United Kingdom",4,12,Resigned,On-site,1056152
EMP0000111,Christopher Kelly,Sales,Account Manager,30/08/2022,"Gabriellachester, Namibia",5,2,Resigned,On-site,500185
EMP0000113,Joanna Santos,R&D,Product Developer,28/05/2024,"Lake Kayla, Morocco",5,1,Active,Remote,657926
EMP0000114,Miguel Williams,Finance,CFO,01/09/2018,"Christopherland, Cook Islands",3,6,Active,Remote,883003
EMP0000115,Adam Williams,IT,Software Engineer,08/04/2024,"Donnafort, Uzbekistan",3,1,Active,On-site,1748535
EMP0000116,Nicole Arnold,HR,Talent Acquisition Specialist,09/02/2013,"Coxside, Papua New Guinea",4,12,Active,On-site,1132600
EMP0000117,Vicki Ritter,IT,Software Engineer,20/12/2024,"Alexandermouth, Cuba",3,0,Active,On-site,620800
EMP0000118,Victoria Kelly,HR,HR Manager,05/06/2011,"Christinebury, Tuvalu",2,14,Active,Remote,1122849
EMP0000119,James Banks,R&D,Research Scientist,25/02/2020,"East Markborough, Portugal",2,5,Active,Remote,749780
EMP0000120,Brooke Parker,Operations,Operations Executive,13/07/2020,"Wardmouth, Saint Lucia",1,5,Resigned,On-site,879087
EMP0000121,Michael Jacobs,Sales,Sales Executive,22/02/2024,"New Jeremystad, Latvia",4,1,Resigned,On-site,739283
EMP0000122,Vanessa Brown,IT,Data Analyst,14/08/2017,"South Teresa, Liechtenstein",3,8,Terminated,On-site,495474
EMP0000123,Cynthia Hanna,Marketing,Marketing Executive,08/08/2022,"Espinozaview, Ethiopia",5,3,Active,Remote,611516
EMP0000124,Darren Perez,Operations,Operations Executive,26/10/2013,"North Jeffreytown, Netherlands",2,11,Active,On-site,577474
EMP0000125,Sharon Miller,Operations,Operations Executive,25/02/2022,"Katrinatown, Tunisia",2,3,Retired,On-site,1065702
EMP0000126,Justin Martinez,IT,Software Engineer,29/08/2020,"Annachester, Niger",3,4,Active,On-site,641082
EMP0000127,Emily Palmer,Marketing,Content Strategist,23/09/2020,"Port Brandonfurt, Saint Barthelemy",4,4,Active,Remote,769468
EMP0000128,Nicholas Walls,Marketing,SEO Specialist,04/01/2019,"Robertmouth, Tanzania",1,6,Active,On-site,603585
EMP0000129,Brandon Boyd,Marketing,Marketing Executive,03/12/2016,"Lake Taylor, Netherlands",5,8,Active,Remote,885407
EMP0000130,Natalie Smith,Sales,Account Manager,19/06/2023,"North Jenny, Gibraltar",2,2,Active,On-site,1121437
EMP0000131,Vicki Martinez,Operations,Supply Chain Manager,31/03/2017,"Lake Deniseberg, Argentina",3,8,Active,On-site,1026657
EMP0000132,James Cordova,Sales,Sales Executive,29/11/2021,"Natashamouth, British Indian Ocean Territory (Chagos Archipelago)",4,3,Active,On-site,704809
EMP0000133,Rachel Lopez,IT,Data Analyst,18/09/2021,"Johnsonfort, Bosnia and Herzegovina",3,3,Active,Remote,688633
EMP0000134,David Escobar,IT,Software Engineer,14/08/2015,"New Nicholastown, Martinique",1,10,Active,Remote,1346567
EMP0000135,Dawn Lyons,IT,Data Analyst,13/04/2023,"South Sandrabury, Nicaragua",3,2,Active,Remote,498316
EMP0000136,Shannon Robinson,R&D,Research Scientist,31/01/2022,"Amyton, Antigua and Barbuda",5,3,Active,Remote,522612
EMP0000137,David Simmons,Sales,Sales Executive,25/08/2014,"Lake Jennaland, Gabon",5,10,Active,On-site,532749
EMP0000138,Mark David,IT,Software Engineer,05/12/2017,"New Annemouth, Honduras",2,7,Resigned,Remote,1654930
EMP0000139,Thomas Moore,Sales,Account Manager,20/07/2017,"Lake Saraside, Greenland",1,8,Retired,Remote,765399
EMP0000141,Robert Lee,Marketing,Content Strategist,27/11/2020,"Jonathanberg, Lesotho",4,4,Resigned,Remote,1035195
EMP0000142,Jennifer Harrison,Operations,Operations Executive,23/10/2015,"Mariahchester, American Samoa",5,9,Resigned,Remote,456737
EMP0000143,Benjamin Faulkner,R&D,Product Developer,08/12/2012,"Port Jessicamouth, Guinea",1,12,Active,On-site,742655
EMP0000144,Jane Mcintyre,IT,IT Manager,16/09/2024,"Housemouth, Guam",4,0,Active,On-site,2194883
EMP0000145,Kimberly Thomas,Sales,Account Manager,12/07/2021,"Stuartberg, Cook Islands",5,4,Active,On-site,536360
EMP0000146,Charlotte Fox,IT,Software Engineer,09/03/2019,"Masonville, Vanuatu",5,6,Active,Remote,1771742
EMP0000147,Jeffery Wilson,Operations,Logistics Coordinator,14/04/2017,"Mitchellberg, Madagascar",2,8,Retired,Remote,505737
EMP0000148,Nicholas Parker,R&D,Research Scientist,05/05/2020,"Justinside, Philippines",3,5,Resigned,On-site,570314
EMP0000149,Lisa Maxwell,IT,Software Engineer,20/09/2023,"Dominiqueshire, Libyan Arab Jamahiriya",5,1,Active,On-site,1062363
EMP0000150,Judy Ramos,Operations,Operations Executive,07/09/2023,"Port Blake, Taiwan",2,1,Retired,On-site,967082
EMP0000151,Ronald Wall,Marketing,Marketing Executive,19/10/2022,"Reynoldsside, Spain",1,2,Active,Remote,973327
EMP0000152,Connie Brown,Marketing,Marketing Executive,30/04/2024,"Josephburgh, Singapore",5,1,Active,On-site,1038353
EMP0000153,George Morales,Finance,Accountant,30/09/2013,"Knoxfort, Dominican Republic",2,11,Active,On-site,716501
EMP0000154,Riley Hansen,IT,CTO,31/05/2024,"West Amandaville, Lao People's Democratic Republic",4,1,Active,Remote,802570
EMP0000155,Jeremy Taylor,Operations,Operations Executive,05/01/2011,"Stephanieton, Cook Islands",3,14,Active,Remote,961144
EMP0000156,Scott Perry,IT,Software Engineer,03/11/2019,"South Adamchester, Liberia",5,5,Resigned,On-site,896063
EMP0000157,Taylor Morris,Marketing,SEO Specialist,11/04/2011,"Phamtown, Botswana",4,14,Active,On-site,602165
EMP0000158,Kevin Reynolds,Operations,Operations Executive,24/05/2018,"West John, Nepal",2,7,Resigned,On-site,1137477
EMP0000159,Brendan Ruiz,Marketing,Marketing Executive,22/09/2018,"South Sarahville, Western Sahara",1,6,Resigned,Remote,551409
EMP0000160,Matthew Rodgers,Operations,Operations Executive,05/09/2017,"South Michaelberg, Faroe Islands",3,7,Active,Remote,521674
EMP0000161,Tammy Smith,IT,IT Manager,13/03/2017,"Meyerton, Portugal",2,8,Active,Remote,2908256
EMP0000162,Dylan Dyer,IT,Software Engineer,28/02/2016,"Port Seth, Finland",2,9,Active,On-site,1110832
EMP0000163,Mr. Russell Palmer DDS,IT,Software Engineer,01/02/2019,"South Jimview, French Guiana",2,6,Resigned,Remote,1197783
EMP0000164,Paul Ford,IT,Data Analyst,20/05/2016,"North Peggy, Lesotho",1,9,Active,On-site,1155952
EMP0000165,Michelle Martin DVM,IT,Software Engineer,26/05/2023,"North Tammy, Vietnam",5,2,Resigned,On-site,1515894
EMP0000166,Susan Torres,HR,HR Executive,30/03/2016,"North Gregory, Samoa",3,9,Active,On-site,767144
EMP0000167,Jamie Graham,Operations,Supply Chain Manager,17/01/2017,"Lake Gregoryborough, Dominica",4,8,Active,Remote,872882
EMP0000168,Lori Hill,Marketing,Brand Manager,27/02/2022,"North Steven, Costa Rica",5,3,Resigned,On-site,511948
EMP0000169,Lori Choi,Sales,Sales Executive,15/01/2017,"North Michael, Portugal",3,8,Active,Remote,616410
EMP0000170,Catherine Wong,Sales,Sales Executive,08/06/2023,"Port Ronaldville, Guinea",5,2,Active,On-site,541952
EMP0000171,Rebecca Kemp,Operations,Supply Chain Manager,01/10/2020,"Byrdhaven, Sri Lanka",3,4,Resigned,On-site,632261
EMP0000172,Tara Martinez,IT,IT Manager,27/07/2019,"Zacharymouth, Palestinian Territory",5,6,Active,On-site,2474037
EMP0000173,Kathleen Edwards,Sales,Sales Director,18/02/2022,"Michaelland, Guinea",2,3,Active,On-site,953208
EMP0000174,Sean Evans,Finance,Finance Manager,24/04/2025,"Bondshire, Israel",3,0,Active,On-site,2380770
EMP0000175,Isaiah Mejia,Marketing,Marketing Executive,05/02/2023,"North Gregoryton, Oman",1,2,Active,Remote,950620
EMP0000176,Kenneth Taylor,IT,CTO,29/03/2025,"Colinville, British Indian Ocean Territory (Chagos Archipelago)",4,0,Active,On-site,526140
EMP0000177,Antonio Gonzalez,Sales,Account Manager,08/02/2017,"West Johnton, Seychelles",2,8,Active,On-site,852342
EMP0000178,Tanner Mccormick,Marketing,Content Strategist,28/12/2015,"South Anthony, Tokelau",1,9,Active,On-site,994922
EMP0000179,Cassandra Rowland,Finance,Financial Analyst,01/12/2020,"Jennifertown, Palau",2,4,Active,Remote,844254
EMP0000180,Cheyenne Hernandez,Operations,Operations Executive,08/09/2015,"East Kristyberg, Congo",1,9,Terminated,On-site,832592
EMP0000181,Frank Garcia,Finance,Finance Manager,25/11/2024,"Rosestad, Uzbekistan",1,0,Active,Remote,2244884
EMP0000183,Jason Bell,IT,Software Engineer,07/09/2011,"Ryanview, Denmark",5,13,Resigned,Remote,1434052
EMP0000184,Teresa Mills,IT,CTO,24/03/2024,"Moodyland, Syrian Arab Republic",3,1,Resigned,On-site,403320
EMP0000185,Bryan Sellers,Finance,Financial Analyst,04/06/2020,"Perrystad, Guadeloupe",2,5,Active,On-site,1314522
EMP0000186,Anne Ramirez,Sales,Sales Director,30/03/2022,"Port Angela, Peru",2,3,Active,Remote,563772
EMP0000187,Kelly Robinson,Finance,Accountant,19/01/2025,"Dodsonview, Australia",5,0,Active,On-site,529192
EMP0000188,Peter Harris,HR,HR Executive,30/09/2016,"Lake David, Moldova",2,8,Terminated,On-site,790535
EMP0000189,Christopher Matthews,Sales,Sales Executive,18/05/2021,"New Paulton, Norfolk Island",3,4,Active,On-site,652681
EMP0000190,Jeffrey Mullen,IT,Software Engineer,09/12/2015,"East Phillipburgh, Thailand",5,9,Active,On-site,1762025
EMP0000191,Alec Fox,Marketing,SEO Specialist,27/04/2013,"Lake Dean, Maldives",1,12,Active,Remote,422034
EMP0000192,Beverly Peterson,Operations,Operations Executive,08/11/2021,"Hawkinsfurt, Indonesia",2,3,Resigned,Remote,965645
EMP0000193,Gregory Gomez,Marketing,Marketing Executive,24/12/2014,"West Jamesland, Namibia",5,10,Active,On-site,704458
EMP0000194,Rebecca Wright,Sales,Sales Executive,20/04/2019,"New Darin, Burundi",1,6,Active,Remote,751030
EMP0000195,Joseph Ramos,IT,Software Engineer,16/04/2020,"Reedhaven, New Caledonia",1,5,Active,On-site,1372145
EMP0000196,Phillip Perkins,R&D,Lab Technician,29/04/2020,"Smithmouth, Faroe Islands",4,5,Active,Remote,511906
EMP0000197,Adam Lane,Operations,Operations Executive,14/04/2020,"East Stephenview, Nepal",4,5,Active,On-site,407565
EMP0000198,Keith Jackson,IT,Software Engineer,10/12/2013,"Lake Hannah, Finland",3,11,Active,On-site,1492295
EMP0000199,Kyle Moore,IT,Software Engineer,10/01/2017,"Port David, New Zealand",1,8,Resigned,Remote,733357
EMP0000200,Raymond Holloway,Operations,Supply Chain Manager,23/03/2019,"Davidburgh, Mexico",1,6,Active,Remote,953595
EMP0000201,Christine Sosa,HR,HR Executive,27/03/2022,"North Michelebury, Turks and Caicos Islands",1,3,Active,Remote,756202
EMP0000202,Paige Hayden,IT,Software Engineer,10/03/2025,"North Charlesfort, Chad",1,0,Active,On-site,1231567
EMP0000203,Eric Mendoza,HR,Talent Acquisition Specialist,24/08/2015,"New John, Oman",1,9,Active,On-site,591822
EMP0000204,Donald Hawkins,HR,HR Executive,14/04/2021,"New Catherine, Iraq",3,4,Active,Remote,662559
EMP0000205,Holly Harrington,IT,Software Engineer,12/06/2020,"Jeremytown, Wallis and Futuna",4,5,Resigned,On-site,646256
EMP0000206,Hannah Baker,IT,Data Analyst,18/10/2023,"Bradleyton, French Guiana",3,1,Resigned,On-site,559033
EMP0000207,Jason Jackson,IT,Software Engineer,23/11/2020,"Blackville, Kazakhstan",2,4,Active,On-site,1066166
EMP0000208,Jose Baker,IT,IT Manager,03/03/2017,"East Austinville, Argentina",4,8,Resigned,Remote,2648462
EMP0000209,Ryan Walker,Finance,Accountant,06/01/2013,"West Jessica, Peru",1,12,Resigned,Remote,501722
EMP0000210,Sara Miller,IT,Data Analyst,13/09/2014,"Lake Davidville, Namibia",3,10,Active,Remote,1177212
EMP0000211,Sara Rodriguez,IT,Data Analyst,23/03/2025,"Coltonburgh, Ireland",1,0,Active,Remote,924588
EMP0000213,Brian Jefferson,Sales,Account Manager,22/02/2020,"New Thomas, Tunisia",2,5,Active,On-site,917524
EMP0000214,Caleb Valencia,Sales,Business Development Manager,01/02/2021,"Chadhaven, Northern Mariana Islands",5,4,Active,On-site,1649214
EMP0000215,Katherine Hull,Operations,Logistics Coordinator,08/01/2023,"Sarahberg, New Zealand",2,2,Active,Remote,585626
EMP0000216,Melissa Turner,Sales,Sales Executive,30/06/2020,"Spencerview, Cayman Islands",1,5,Active,On-site,501656
EMP0000217,Bruce Carroll,Marketing,Marketing Executive,30/08/2016,"New Laura, Colombia",4,8,Active,Remote,492463
EMP0000218,Brandy Cisneros,Sales,Sales Director,06/11/2015,"Jamesburgh, Botswana",2,9,Active,On-site,1008572
EMP0000219,Laura Johnson,Operations,Operations Executive,17/10/2018,"Lake Robert, Bulgaria",3,6,Active,On-site,517213
EMP0000220,Carl Bennett,Finance,Finance Manager,14/06/2013,"Johnshire, Western Sahara",3,12,Active,Remote,2312523
EMP0000221,Tracy Schultz,HR,HR Executive,09/05/2021,"Munozstad, Netherlands",3,4,Resigned,On-site,543511
EMP0000222,Gregory Olson III,Operations,Operations Executive,08/03/2013,"East Bradleystad, Venezuela",1,12,Active,On-site,1050062
EMP0000223,Kelly Yates,Operations,Operations Executive,03/09/2017,"Alexandraville, Hungary",1,7,Active,On-site,1107214
EMP0000224,Kathryn Martin,Marketing,Marketing Executive,16/11/2017,"East Luke, Korea",1,7,Active,On-site,590875
EMP0000225,Seth Gonzalez,HR,HR Executive,04/05/2022,"East John, Saint Helena",2,3,Retired,Remote,563749
